SIM,SOLVER,ERP,DIRECTION,TIMESTEP,BOXVELOCITY,BALLVELOCITY,BOXPOSITION,BALLPOSITION,BOXERROR,BALLERROR,TIME
"DART","PGS",0,1,0.1,0,0,0,0,2.86279619836881,0.234102272904274,0.0312655
"MUJOCO","CG",0,1,1e-05,0,0,0,0,0.00386159435591573,0.000744801437970071,42.3563
"MUJOCO","CG",0,1,4e-05,0,0,0,0,0.00349066178494176,0.000568132549750785,13.0761
"MUJOCO","CG",0,1,0.0001,0,0,0,0,0.00332107371300448,0.000749095553771893,6.48832
"MUJOCO","CG",0,1,0.0004,0,0,0,0,0.00410166216384335,0.00144924723262737,2.1664
"MUJOCO","CG",0,1,0.001,0,0,0,0,0.004857620865,0.0030597258729265,0.976804
"MUJOCO","CG",0,1,0.004,0,0,0,0,0.0138079128228844,0.0118510295865006,0.288334
"MUJOCO","CG",0,1,0.01,0,0,0,0,0.0441196654834236,0.0862103901429938,0.104308
"MUJOCO","CG",0,1,0.04,0,0,0,0,0.281698890112805,0.251439986167567,0.0279074
"MUJOCO","CG",0,1,0.1,0,0,0,0,1.15239427542225,1.06736183521519,0.0106463
"MUJOCO","NEWTON",0,1,1e-05,0,0,0,0,0.00376926239528592,0.000961313025786633,72.2345
"MUJOCO","NEWTON",0,1,4e-05,0,0,0,0,0.00334467582390749,0.000712971401390291,19.3348
"MUJOCO","NEWTON",0,1,0.0001,0,0,0,0,0.00371705808812226,0.000714597144107345,8.51096
"MUJOCO","NEWTON",0,1,0.0004,0,0,0,0,0.0034336772177231,0.00165860977825129,2.49296
"MUJOCO","NEWTON",0,1,0.001,0,0,0,0,0.00498436192230642,0.00364093261911806,1.10232
"MUJOCO","NEWTON",0,1,0.004,0,0,0,0,0.0129474729033913,0.0145388974947381,0.301178
"MUJOCO","NEWTON",0,1,0.01,0,0,0,0,0.0438063243036033,0.0655704165438723,0.0912615
"MUJOCO","NEWTON",0,1,0.04,0,0,0,0,0.281634265998475,0.251461968019477,0.0274251
"MUJOCO","NEWTON",0,1,0.1,0,0,0,0,1.15234285197202,1.06739806218216,0.0104399
"MUJOCO","PGS",0,1,1e-05,0,0,0,0,0.00506701815415599,0.000517285259268676,93.1235
"MUJOCO","PGS",0,1,4e-05,0,0,0,0,0.00495296231825381,0.000503160758526396,26.0392
"MUJOCO","PGS",0,1,0.0001,0,0,0,0,0.00488486814118919,0.000611190244028939,12.4191
"MUJOCO","PGS",0,1,0.0004,0,0,0,0,0.0049150354712267,0.00138163380374222,3.23037
"MUJOCO","PGS",0,1,0.001,0,0,0,0,0.00582602711227612,0.00362455066259649,1.34882
"MUJOCO","PGS",0,1,0.004,0,0,0,0,0.014100057639019,0.0118585935389749,0.332442
"MUJOCO","PGS",0,1,0.01,0,0,0,0,0.0393460100302311,0.0607861994579724,0.0930333
"MUJOCO","PGS",0,1,0.04,0,0,0,0,0.322494268798043,0.220236405664543,0.0433236
"MUJOCO","PGS",0,1,0.1,0,0,0,0,0.962130975143996,0.725278877041897,0.0261734
"ODE","QUICK",0,1,1e-05,0,0,0,0,2.97336657528484,0.242723802106389,56.7895
"ODE","QUICK",0,1,4e-05,0,0,0,0,2.97328852405324,0.242717430638141,14.3766
"ODE","QUICK",0,1,0.0001,0,0,0,0,2.97328108950213,0.242716823750081,5.44542
"ODE","QUICK",0,1,0.0004,0,0,0,0,2.97294659194934,0.242689517133196,1.41254
"ODE","QUICK",0,1,0.001,0,0,0,0,2.97227764228987,0.242634903427834,0.551022
"ODE","QUICK",0,1,0.004,0,0,0,0,2.96893390279838,0.242361919014316,0.140578
"ODE","QUICK",0,1,0.01,0,0,0,0,2.96225113981729,0.24181655412964,0.0601905
"ODE","QUICK",0,1,0.04,0,0,0,0,2.92893980705596,0.239097862336974,0.0163766
"ODE","QUICK",0,1,0.1,0,0,0,0,2.86281972579048,0.233700466067345,0.00726011
"ODE","STANDARD",0,1,1e-05,0,0,0,0,509.173833786774,0.98064457335599,44.8564
"ODE","STANDARD",0,1,4e-05,0,0,0,0,548.060820712922,0.980913283590285,12.0074
"ODE","STANDARD",0,1,0.0001,0,0,0,0,553.428114157631,0.981052339758109,4.97372
"ODE","STANDARD",0,1,0.0004,0,0,0,0,503.318036649271,0.982741956400307,1.4322
"ODE","STANDARD",0,1,0.004,0,0,0,0,2.93620029699597,0.241886856282558,0.3922
"ODE","STANDARD",0,1,0.01,0,0,0,0,577.850211318072,1.04641557888152,0.0451292
"ODE","STANDARD",0,1,0.04,0,0,0,0,578.998780225516,1.23791316351765,0.0125362
"ODE","STANDARD",0,1,0.1,0,0,0,0,3.95757938513371,0.717616730359968,0.0167997
"RAI","RAI",0,1,1e-05,0,0,0,0,4.08345035789172e-07,4.44131286255127e-08,26.8431
"RAI","RAI",0,1,4e-05,0,0,0,0,4.08874172131467e-07,4.44670718967523e-08,6.64986
"RAI","RAI",0,1,0.0001,0,0,0,0,4.09199469457452e-07,4.45062262814106e-08,2.64927
"RAI","RAI",0,1,0.0004,0,0,0,0,4.06970571056209e-07,4.43215181039644e-08,0.670893
"RAI","RAI",0,1,0.001,0,0,0,0,4.05711786644719e-07,4.43185289317671e-08,0.260323
"RAI","RAI",0,1,0.004,0,0,0,0,4.05553662196975e-07,4.47655965394125e-08,0.0654002
"RAI","RAI",0,1,0.01,0,0,0,0,4.03819049273955e-07,4.55222757388614e-08,0.0268732
"RAI","RAI",0,1,0.04,0,0,0,0,3.95783843710258e-07,4.91176231349043e-08,0.00694847
"RAI","RAI",0,1,0.1,0,0,0,0,3.86900051827542e-07,5.81541853853561e-08,0.00290294
"BULLET","MLCPDANTZIG",1,0,1e-05,0,0,0,0,0.164491329003999,0.0155511427934373,150.366
"BULLET","MLCPDANTZIG",1,0,4e-05,0,0,0,0,0.0095957696173284,0.000816073682251495,37.024
"BULLET","MLCPDANTZIG",1,0,0.0001,0,0,0,0,0.00151028045448643,0.000125255592440261,15.9457
"BULLET","MLCPDANTZIG",1,0,0.0004,0,0,0,0,7.93663103823819e-05,6.5805522669478e-06,3.84211
"BULLET","MLCPDANTZIG",1,0,0.001,0,0,0,0,8.64825254829849e-06,1.57736170930655e-06,1.53627
"BULLET","MLCPDANTZIG",1,0,0.004,0,0,0,0,7.30146658278509e-05,2.91616183174242e-05,0.371921
"BULLET","MLCPDANTZIG",1,0,0.01,0,0,0,0,0.000679990322683908,0.000199917632610693,0.160758
"BULLET","MLCPDANTZIG",1,0,0.04,0,0,0,0,5.22219421734605e-05,8.76965335932175e-05,0.0435928
"BULLET","MLCPDANTZIG",1,0,0.1,0,0,0,0,0.00247655031510582,0.000945923202918334,0.0154222
"BULLET","MLCPPGS",1,0,1e-05,0,0,0,0,0.152365769780286,0.0145100789691817,387.418
"BULLET","MLCPPGS",1,0,4e-05,0,0,0,0,0.00894194410021739,0.000761905337349657,96.644
"BULLET","MLCPPGS",1,0,0.0001,0,0,0,0,0.00140292904122582,0.000116410611885494,36.1211
"BULLET","MLCPPGS",1,0,0.0004,0,0,0,0,7.8963555135919e-05,6.56272407236867e-06,8.97205
"BULLET","MLCPPGS",1,0,0.001,0,0,0,0,8.37851437473262e-06,1.54934637492523e-06,3.65317
"BULLET","MLCPPGS",1,0,0.004,0,0,0,0,0.000111408006807912,2.42710176139794e-05,0.898109
"BULLET","MLCPPGS",1,0,0.01,0,0,0,0,0.00073535897205398,0.000168511555448018,0.375399
"BULLET","MLCPPGS",1,0,0.04,0,0,0,0,0.00271970669488418,0.00286820264261715,0.0847921
"BULLET","MLCPPGS",1,0,0.1,0,0,0,0,0.0927910452045433,0.204781577224451,0.0218208
"BULLET","NNCG",1,0,1e-05,0,0,0,0,0.170576639526864,0.0162039600940353,30.8675
"BULLET","NNCG",1,0,4e-05,0,0,0,0,0.00996930850266048,0.000848883314055724,7.99643
"BULLET","NNCG",1,0,0.0001,0,0,0,0,0.00156793580570132,0.000130045834173948,3.16797
"BULLET","NNCG",1,0,0.0004,0,0,0,0,9.86255306497843e-05,8.25185399838276e-06,0.774411
